ray_id,parent_id,depth,surface,x0,y0,z0,x1,y1,z1,power,intensity
116,-1,0,Detector_direct,-0.34823877048314367,-0.8045780805733027,3.3199,-0.34823877048314367,-0.8045780805733027,2.6,28693.23768532481,61650053247.55635
117,-1,0,Detector_direct,-0.34841923101204886,-0.8039045927106677,3.3199,-0.34841923101204886,-0.8039045927106677,2.6,28693.23768532481,61650053247.55635
118,-1,0,Detector_direct,-0.34848,-0.80321,3.3199,-0.34848,-0.80321,2.6,28693.23768532481,61650053247.55635
119,-1,0,Detector_direct,-0.34841923101204886,-0.8025154072893322,3.3199,-0.34841923101204886,-0.8025154072893322,2.6,28693.23768532481,61650053247.55635
120,-1,0,Detector_direct,-0.34823877048314367,-0.8018419194266974,3.3199,-0.34823877048314367,-0.8018419194266974,2.6,28693.23768532481,61650053247.55635
121,-1,0,Detector_direct,-0.3479441016151378,-0.80121,3.3199,-0.3479441016151378,-0.80121,2.6,28693.23768532481,61650053247.55635
122,-1,0,Detector_direct,-0.3475441777724759,-0.8006388495612539,3.3199,-0.3475441777724759,-0.8006388495612539,2.6,28693.23768532481,61650053247.55635
123,-1,0,Detector_direct,-0.3470511504387462,-0.8001458222275241,3.3199,-0.3470511504387462,-0.8001458222275241,2.6,28693.23768532481,61650053247.55635
124,-1,0,Detector_direct,-0.34648,-0.7997458983848622,3.3199,-0.34648,-0.7997458983848622,2.6,28693.23768532481,61650053247.55635
125,-1,0,Detector_direct,-0.3458480805733027,-0.7994512295168563,3.3199,-0.3458480805733027,-0.7994512295168563,2.6,28693.23768532481,61650053247.55635
126,-1,0,Detector_direct,-0.34517459271066775,-0.7992707689879511,3.3199,-0.34517459271066775,-0.7992707689879511,2.6,28693.23768532481,61650053247.55635
127,-1,0,Detector_direct,-0.34448,-0.7985433333333333,3.3199,-0.34448,-0.7985433333333333,2.6,25561.97558874095,54922249396.923515
128,-1,0,Detector_direct,-0.3437844694245112,-0.7985954561442827,3.3199,-0.3437844694245112,-0.7985954561442827,2.6,25561.97558874095,54922249396.923515
129,-1,0,Detector_direct,-0.3431044758527491,-0.7987506602396647,3.3199,-0.3431044758527491,-0.7987506602396647,2.6,25561.97558874095,54922249396.923515
130,-1,0,Detector_direct,-0.34245520921745143,-0.7990054786164553,3.3199,-0.34245520921745143,-0.7990054786164553,2.6,25561.97558874095,54922249396.923515
131,-1,0,Detector_direct,-0.3418511730623698,-0.799354219053192,3.3199,-0.3418511730623698,-0.799354219053192,2.6,25561.97558874095,54922249396.923515
132,-1,0,Detector_direct,-0.3413058605570691,-0.7997890912647941,3.3199,-0.3413058605570691,-0.7997890912647941,2.6,25561.97558874095,54922249396.923515
133,-1,0,Detector_direct,-0.3408314530818159,-0.8003003809246593,3.3199,-0.3408314530818159,-0.8003003809246593,2.6,25561.97558874095,54922249396.923515
134,-1,0,Detector_direct,-0.34043854811567265,-0.8008766666666667,3.3199,-0.34043854811567265,-0.8008766666666667,2.6,25561.97558874095,54922249396.923515
135,-1,0,Detector_direct,-0.34013592250632707,-0.8015050752196234,3.3199,-0.34013592250632707,-0.8015050752196234,2.6,25561.97558874095,54922249396.923515
136,-1,0,Detector_direct,-0.3399303364098182,-0.8021715689748705,3.3199,-0.3399303364098182,-0.8021715689748705,2.6,25561.97558874095,54922249396.923515
137,-1,0,Detector_direct,-0.33982638227982115,-0.8028612595632634,3.3199,-0.33982638227982115,-0.8028612595632634,2.6,25561.97558874095,54922249396.923515
138,-1,0,Detector_direct,-0.33982638227982115,-0.8035587404367366,3.3199,-0.33982638227982115,-0.8035587404367366,2.6,25561.97558874095,54922249396.923515
139,-1,0,Detector_direct,-0.3399303364098182,-0.8042484310251294,3.3199,-0.3399303364098182,-0.8042484310251294,2.6,25561.97558874095,54922249396.923515
140,-1,0,Detector_direct,-0.34013592250632707,-0.8049149247803765,3.3199,-0.34013592250632707,-0.8049149247803765,2.6,25561.97558874095,54922249396.923515
141,-1,0,Detector_direct,-0.34043854811567265,-0.8055433333333333,3.3199,-0.34043854811567265,-0.8055433333333333,2.6,25561.97558874095,54922249396.923515
142,-1,0,Detector_direct,-0.3408314530818159,-0.8061196190753407,3.3199,-0.3408314530818159,-0.8061196190753407,2.6,25561.97558874095,54922249396.923515
