surface,ray_id,parent_id,depth,x,y,z,dx,dy,dz,power,intensity,u,v
Detector_main,2947,2226,3,-0.34312421118974734,-0.8001648484745246,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.0013557888102526672,0.0030451515254753536
Detector_main,2948,2227,3,-0.34252071582569177,-0.8005132766854168,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.00195928417430824,0.0026967233145831493
Detector_main,2949,2228,3,-0.342002850581742,-0.8009795646454705,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.0024771494182579956,0.002230435354529492
Detector_main,2950,2229,3,-0.3415932486540519,-0.8015433333333333,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.002886751345948124,0.0016666666666667052
Detector_main,2951,2230,3,-0.3413098116123495,-0.8021799433520835,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.0031701883876504855,0.0010300566479164441
Detector_main,2952,2231,3,-0.3411649270154391,-0.8028615717891078,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.0033150729845609073,0.0003484282108922043
Detector_main,2953,2232,3,-0.3411649270154391,-0.8035584282108922,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.0033150729845609073,-0.0003484282108922043
Detector_main,2954,2233,3,-0.3413098116123495,-0.8042400566479164,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.0031701883876504855,-0.0010300566479164441
Detector_main,2955,2234,3,-0.3415932486540519,-0.8048766666666667,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.002886751345948124,-0.0016666666666667052
Detector_main,2956,2235,3,-0.342002850581742,-0.8054404353545295,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.0024771494182579956,-0.002230435354529492
Detector_main,2957,2236,3,-0.34252071582569177,-0.8059067233145831,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.00195928417430824,-0.0026967233145831493
Detector_main,2958,2237,3,-0.34312421118974734,-0.8062551515254753,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.0013557888102526672,-0.0030451515254753536
Detector_main,2959,2238,3,-0.34378696103060746,-0.806470492002446,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.0006930389693925454,-0.003260492002446047
Detector_main,2960,2239,3,-0.34448,-0.8065433333333333,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,0.0,-0.0033333333333332993
Detector_main,2961,2240,3,-0.34517303896939255,-0.806470492002446,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,-0.0006930389693925454,-0.003260492002446047
Detector_main,2962,2241,3,-0.3458357888102527,-0.8062551515254753,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,-0.0013557888102526672,-0.0030451515254753536
Detector_main,2963,2242,3,-0.34643928417430825,-0.8059067233145831,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,-0.00195928417430824,-0.0026967233145831493
Detector_main,2964,2243,3,-0.346957149418258,-0.8054404353545295,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,-0.0024771494182579956,-0.002230435354529492
Detector_main,2965,2244,3,-0.34736675134594813,-0.8048766666666667,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,-0.002886751345948124,-0.0016666666666667052
Detector_main,2966,2245,3,-0.3476501883876505,-0.8042400566479164,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,-0.0031701883876504855,-0.0010300566479164441
Detector_main,2967,2246,3,-0.3477950729845609,-0.8035584282108922,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,-0.0033150729845609073,-0.0003484282108922043
Detector_main,2968,2247,3,-0.3477950729845609,-0.8028615717891078,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,-0.0033150729845609073,0.0003484282108922043
Detector_main,2969,2248,3,-0.3476501883876505,-0.8021799433520835,2.6,0.0,0.0,-1.0,14579.961448767866,31326384617.919132,-0.0031701883876504855,0.0010300566479164441
