3.2.7	(0.7466427125, -1.025478018, -2.7709615121)	(0.7461619189, -1.0249595226, -2.77145976)	(0.7466804142, -1.024478729, -2.7719580078)	(0.7471612078, -1.0249972244, -2.77145976)

3.3.1	(0.7545751478, -1.0185025963, -2.4399105465)	(0.7538723669, -1.0185806919, -2.4404292082)	(0.7537942712, -1.017877911, -2.44094787)	(0.7544970522, -1.0177998154, -2.4404292082)
3.3.2	(0.7535258727, -1.018216355, -2.4398188384)	(0.7528200225, -1.0181742163, -2.4403378931)	(0.7528621612, -1.017468366, -2.4408569477)	(0.7535680115, -1.0175105048, -2.4403378931)
3.3.3	(0.7545790336, -1.0173784984, -2.4398748218)	(0.7539431189, -1.0170692852, -2.4403918337)	(0.7542523321, -1.0164333704, -2.4409088457)	(0.7548882469, -1.0167425836, -2.4403918337)
3.3.4	(0.7532806878, -1.0172384144, -2.4401263981)	(0.7525979392, -1.0170544204, -2.4406446243)	(0.7527819333, -1.0163716718, -2.4411628505)	(0.7534646819, -1.0165556658, -2.4406446243)
3.3.5	(0.75479662, -1.0163023599, -2.4399952679)	(0.7542302113, -1.0158790616, -2.4405105985)	(0.7546535096, -1.0153126529, -2.4410259292)	(0.7552199183, -1.0157359512, -2.4405105985)
3.3.6	(0.755519339, -1.0168960978, -2.4400433875)	(0.755158548, -1.0162879613, -2.4405552668)	(0.7557666844, -1.0159271703, -2.4410671461)	(0.7561274754, -1.0165353068, -2.4405552668)
3.3.7	(0.7552869723, -1.0179519606, -2.4400648744)	(0.75481279, -1.0174274121, -2.440578126)	(0.7553373385, -1.0169532298, -2.4410913776)	(0.7558115208, -1.0174777783, -2.440578126)

3.4.1	(0.7514589243, -1.026038542, -2.1096401042)	(0.7508076848, -1.0257630658, -2.1101558487)	(0.7510831611, -1.0251118263, -2.1106715933)	(0.7517344005, -1.0253873026, -2.1101558487)
3.4.2	(0.7487621358, -1.0261071727, -2.1102179005)	(0.7480871687, -1.0263179309, -2.110728841)	(0.7478764106, -1.0256429638, -2.1112397816)	(0.7485513777, -1.0254322056, -2.110728841)
3.4.3	(0.7503065194, -1.0251734793, -2.1101652046)	(0.7496079204, -1.025064121, -2.1106751671)	(0.7497172788, -1.024365522, -2.1111851296)	(0.7504158777, -1.0244748803, -2.1106751671)
3.4.4	(0.7485611701, -1.0251341643, -2.1109218861)	(0.7478620019, -1.0252398242, -2.1114327535)	(0.747756342, -1.024540656, -2.1119436208)	(0.7484555102, -1.0244349962, -2.1114327535)
3.4.5	(0.750137628, -1.0240993189, -2.1101482722)	(0.7494305283, -1.0240960932, -2.1106588051)	(0.749433754, -1.0233889935, -2.1111693381)	(0.7501408537, -1.0233922192, -2.1106588051)
3.4.6	(0.7522763871, -1.0241287543, -2.1098466105)	(0.7516729357, -1.0237601807, -2.1103630885)	(0.7520415092, -1.0231567293, -2.1108795665)	(0.7526449606, -1.0235253029, -2.1103630885)
3.4.7	(0.7515628304, -1.0247087833, -2.1103570203)	(0.7520828991, -1.0251878747, -2.1098434114)	(0.7525619905, -1.024667806, -2.1103570203)	(0.7520419219, -1.0241887146, -2.1108706293)

4.1.1	(1.0194157164, 0.744279176, -3.1008722214)	(1.0191365903, 0.7449288597, -3.1003627029)	(1.0184869066, 0.7446497337, -3.1008722214)	(1.0187660326, 0.7440000499, -3.1013817398)
4.1.2	(1.0172593321, 0.745007589, -3.1002154712)	(1.0165524, 0.7449918683, -3.1007290323)	(1.0165681206, 0.7442849362, -3.1012425934)	(1.0172750528, 0.7443006569, -3.1007290323)
4.1.3	(1.0173347026, 0.7462445954, -3.1001216724)	(1.0172128792, 0.745548062, -3.1006362781)	(1.0165163458, 0.7456698853, -3.1011508838)	(1.0166381691, 0.7463664188, -3.1006362781)
4.1.4	(1.0158685802, 0.745546781, -3.1008830001)	(1.0152115359, 0.7458081095, -3.1013978489)	(1.0154728644, 0.7464651538, -3.1008830001)	(1.0161299087, 0.7462038253, -3.1003681512)
4.1.5	(1.0158379313, 0.7467165955, -3.1011538433)	(1.0162155917, 0.7473144017, -3.1006369769)	(1.0168133979, 0.7469367413, -3.1001201105)	(1.0164357375, 0.7463389351, -3.1006369769)
4.1.6	(1.0168580086, 0.7472094158, -3.1009432481)	(1.0173510877, 0.7477162423, -3.1004265812)	(1.0178579141, 0.7472231633, -3.0999099144)	(1.0173648351, 0.7467163368, -3.1004265812)
4.1.7	(1.0181091508, 0.7450666121, -3.1007200859)	(1.0179552187, 0.7457567606, -3.1002081061)	(1.0186453672, 0.7459106926, -3.0996961264)	(1.0187992993, 0.7452205442, -3.1002081061)

4.2.1	(1.0266609205, 0.7438705955, -2.7720087019)	(1.0259553605, 0.7439173427, -2.7724994059)	(1.0260021076, 0.7446229027, -2.7720087019)	(1.0267076677, 0.7445761556, -2.7715179979)
4.2.2	(1.0262731312, 0.7429951751, -2.7727624935)	(1.0255719173, 0.7429040745, -2.7732553274)	(1.0254808167, 0.7436052884, -2.7727624935)	(1.0261820306, 0.7436963889, -2.7722696597)
4.2.3	(1.0262881268, 0.7454337123, -2.7715531324)	(1.0256047045, 0.7456151905, -2.7720420806)	(1.0254232263, 0.7449317682, -2.7725310288)	(1.0261066486, 0.74475029, -2.7720420806)
4.2.4	(1.024921806, 0.7447963645, -2.7720956148)	(1.0242827159, 0.7450989595, -2.7725830757)	(1.0245853109, 0.7457380496, -2.7720956148)	(1.025224401, 0.7454354545, -2.7716081539)
4.2.5	(1.025266737, 0.7465213288, -2.7720467506)	(1.0247874767, 0.747041242, -2.7725344923)	(1.0253073898, 0.7475205022, -2.7720467506)	(1.0257866501, 0.7470005891, -2.771559009)
4.2.6	(1.0263156946, 0.7460405817, -2.7718329893)	(1.0257460415, 0.7464595032, -2.7723205326)	(1.026164963, 0.7470291564, -2.7718329893)	(1.0267346161, 0.7466102348, -2.771345446)
4.2.7	(1.0271354631, 0.7456929052, -2.7711315519)	(1.0264629702, 0.7454743801, -2.7716266631)	(1.0266814953, 0.7448018872, -2.7721217744)	(1.0273539882, 0.7450204123, -2.7716266631)

4.3.1	(1.0219166344, 0.7530225379, -2.4402857993)	(1.0221206956, 0.7523455158, -2.4407855569)	(1.0214436735, 0.7521414545, -2.4412853145)	(1.0212396123, 0.7528184766, -2.4407855569)
4.3.2	(1.0214521495, 0.751779456, -2.4402038527)	(1.021388876, 0.7510751856, -2.4407117215)	(1.0206846057, 0.7511384591, -2.4412195903)	(1.0207478791, 0.7518427295, -2.4407117215)
4.3.3	(1.0208831011, 0.751980366, -2.4406359113)	(1.0210814227, 0.752659092, -2.4401242361)	(1.0204026968, 0.7528574136, -2.4406359113)	(1.0202043751, 0.7521786877, -2.4411475865)
4.3.4	(1.0209821666, 0.7508774046, -2.4409492673)	(1.0210576303, 0.7501743365, -2.4414530204)	(1.0203545622, 0.7500988728, -2.4419567735)	(1.0202790985, 0.7508019409, -2.4414530204)
4.3.5	(1.0188411904, 0.7525710053, -2.4414616253)	(1.0183888981, 0.7531145419, -2.4419854362)	(1.0189324347, 0.7535668341, -2.4414616253)	(1.019384727, 0.7530232976, -2.4409378144)
4.3.6	(1.0200802243, 0.7527127927, -2.440533484)	(1.019452998, 0.7530392696, -2.4410495067)	(1.0197794748, 0.7536664959, -2.440533484)	(1.0204067012, 0.753340019, -2.4400174614)
4.3.7	(1.021040204, 0.7532997957, -2.4402065307)	(1.0204881455, 0.7537416455, -2.4407267725)	(1.0209299953, 0.754293704, -2.4402065307)	(1.0214820538, 0.7538518542, -2.4396862888)

4.4.1	(1.0271782055, 0.751449676, -2.109463642)	(1.0270305718, 0.7507581528, -2.1099834589)	(1.0263390486, 0.7509057865, -2.1105032758)	(1.0264866823, 0.7515973096, -2.1099834589)
4.4.2	(1.0265847657, 0.750620561, -2.1096949461)	(1.0265717326, 0.7499135747, -2.1102145148)	(1.0258647463, 0.7499266077, -2.1107340835)	(1.0258777793, 0.7506335941, -2.1102145148)
4.4.3	(1.0260869737, 0.7513259175, -2.1096971101)	(1.025803347, 0.7506781863, -2.1102138524)	(1.0251556158, 0.7509618131, -2.1107305948)	(1.0254392425, 0.7516095442, -2.1102138524)
4.4.4	(1.0257963102, 0.7496499675, -2.110496663)	(1.0259261982, 0.7489548925, -2.1110200502)	(1.0252311232, 0.7488250045, -2.1115434374)	(1.0251012352, 0.7495200795, -2.1110200502)
4.4.5	(1.024992303, 0.7516145583, -2.1099553253)	(1.0245874004, 0.7510348564, -2.1104709681)	(1.0240076985, 0.751439759, -2.1109866109)	(1.0244126011, 0.7520194609, -2.1104709681)
4.4.6	(1.0250329764, 0.7519261602, -2.1103237219)	(1.0245427406, 0.7524357373, -2.1108376293)	(1.0250523178, 0.7529259732, -2.1103237219)	(1.0255425536, 0.752416396, -2.1098098145)
4.4.7	(1.0268008538, 0.7532129068, -2.1099961274)	(1.0262063256, 0.7528301062, -2.1105080793)	(1.0258235251, 0.7534246344, -2.1110200312)	(1.0264180533, 0.753807435, -2.1105080793)
