2.2.6	(-1.0229066901586, -0.7647216150392, -2.7710222864)	(-1.0224783723586, -0.7641589927392001, -2.7715192311)	(-1.0219157500586, -0.7645873106392, -2.7720161759)	(-1.0223440678586, -0.7651499329392001, -2.7715192311)
2.2.7	(-1.0240935187586, -0.7660680645392001, -2.7709139448)	(-1.0235642169586001, -0.7655991941392001, -2.7714128425)	(-1.0230953464586001, -0.7661284959392001, -2.7719117402)	(-1.0236246483586, -0.7665973663392001, -2.7714128425)

2.3.1	(-1.0211956251586, -0.7721533977392, -2.4411489777)	(-1.0210635077586, -0.7714587432392, -2.4416436167)	(-1.0203688531586, -0.7715908606392, -2.4421382556)	(-1.0205009706586001, -0.7722855151392001, -2.4416436167)
2.3.2	(-1.0208836848586, -0.7709772763392001, -2.4412229684)	(-1.0208845571586, -0.7702701699392001, -2.4417169541)	(-1.0201774507586001, -0.7702692976392, -2.4422109397)	(-1.0201765784586, -0.7709764040392001, -2.4417169541)
2.3.3	(-1.0202704529586, -0.7716702627392, -2.4412666731)	(-1.0200115657586, -0.7710122522392, -2.4417590847)	(-1.0193535552586, -0.7712711394392, -2.4422514962)	(-1.0196124424586, -0.7719291499392, -2.4417590847)
2.3.4	(-1.0201307848586, -0.7700247942392, -2.4419356769)	(-1.0202586070586, -0.7693293368392, -2.4424352229)	(-1.0195631496586, -0.7692015146392001, -2.4429347689)	(-1.0194353274586, -0.7698969720392, -2.4424352229)
2.3.5	(-1.0191813199586, -0.7720589069392001, -2.4414976613)	(-1.0188027408586, -0.7714616815392, -2.4419901435)	(-1.0182055154586, -0.7718402605392001, -2.4424826256)	(-1.0185840944586, -0.7724374860392, -2.4419901435)
2.3.6	(-1.0198947606586, -0.7728034762392001, -2.4411941357)	(-1.0194073657586, -0.7722911811392, -2.4416875137)	(-1.0188950706586, -0.7727785759392001, -2.4421808917)	(-1.0193824655586001, -0.7732908711392, -2.4416875137)
2.3.7	(-1.0209780562586, -0.7732223253392001, -2.4411666556)	(-1.0204015287586001, -0.7728129160392001, -2.4416606718)	(-1.0199921195586, -0.7733894436392, -2.4421546881)	(-1.0205686470586, -0.7737988528392, -2.4416606718)

2.4.1	(-1.0252813116586, -0.7715903100392001, -2.1093601001)	(-1.0254623446586, -0.7709067699392, -2.1098725626)	(-1.0247788045586, -0.7707257368392001, -2.1103850252)	(-1.0245977715586, -0.7714092769392, -2.1098725626)
2.4.2	(-1.0248733694586, -0.7702403712392001, -2.1093949498)	(-1.0247821969586, -0.7695391672392, -2.1099129367)	(-1.0240809928586, -0.7696303396392, -2.1104309236)	(-1.0241721653586, -0.7703315437392001, -2.1099129367)
2.4.3	(-1.0242340921586, -0.7709606126392, -2.1093958948)	(-1.0240065621586, -0.7702911129392, -2.109915708)	(-1.0233370624586, -0.7705186428392, -2.1104355211)	(-1.0235645923586, -0.7711881426392001, -2.109915708)
2.4.4	(-1.0241443278586, -0.7692523318392, -2.1102294119)	(-1.0241942168586, -0.7685469870392001, -2.1107448418)	(-1.0234888720586, -0.7684970981392001, -2.1112602716)	(-1.0234389830586, -0.7692024428392, -2.1107448418)
2.4.5	(-1.0231518078586, -0.7710785570392, -2.1093099771)	(-1.0227940422586, -0.7704686356392001, -2.1098318017)	(-1.0221841207586, -0.7708264012392001, -2.1103536263)	(-1.0225418863586, -0.7714363226392, -2.1098318017)
